vehicles,algorithm,neural_network,rerouting,average_edge_usage,max_edge_usage,total_travel_cost,average_travel_cost,green_edges,yellow_edges,orange_edges,red_edges,rerouted_vehicles,runtime_seconds,total_nodes_visited
200,astar,neural_network,True,3.710811821922933,29,198002.24077455132,990.0112038727566,1070,645,421,537,188,3.3830201625823975,46.07
200,astar,neural_network,True,3.6637371035536876,26,193579.7363522263,967.8986817611315,1016,710,332,559,181,3.3356940746307373,45.52
200,astar,neural_network,True,3.8631498470948014,31,204622.11148371833,1023.1105574185916,1063,682,303,568,194,3.5612637996673584,48.225
400,astar,neural_network,True,5.667674629573631,54,415303.94478957774,1038.2598619739445,1671,593,352,691,349,5.094811916351318,46.095
400,astar,neural_network,True,5.5921288014311274,52,408481.9877531497,1021.2049693828743,1718,619,311,706,349,5.005688190460205,46.0625
400,astar,neural_network,True,5.680449984797811,64,417518.46187376376,1043.7961546844094,1747,555,300,687,348,5.321548223495483,45.855
50,astar,static,True,2.128419452887538,9,32528.745111937344,650.5749022387469,667,310,130,209,40,2.134575843811035,45.22
50,astar,static,True,2.0628930817610063,10,31871.713875207988,637.4342775041598,741,303,190,197,48,2.1041207313537598,45.86
50,astar,static,True,1.9298626174981923,8,33114.1864061857,662.2837281237139,0,775,259,349,47,2.106451988220215,48.12
100,astar,static,True,3.008492569002123,16,66198.67482398305,661.9867482398305,815,507,193,369,85,2.5134968757629395,46.73
100,astar,static,True,2.972340425531915,15,68331.25006513794,683.3125006513794,863,323,316,378,79,2.5344061851501465,47.62
100,astar,static,True,3.009304871373837,16,67463.21890915956,674.6321890915956,777,534,133,383,80,2.570812940597534,45.8
200,astar,static,True,4.113783886979763,30,153326.91467798018,766.6345733899009,1391,464,216,548,174,3.406702995300293,48.04
200,astar,static,True,4.515931372549019,25,145026.22302840927,725.1311151420464,1354,285,217,592,172,3.4154770374298096,47.74
200,astar,static,True,4.068897637795276,23,143321.83320182242,716.6091660091121,1411,386,189,554,176,3.3399899005889893,46.115
400,astar,static,True,6.55729004058695,50,312235.7564327357,780.5893910818393,1776,402,300,725,340,5.120666742324829,47.0025
400,astar,static,True,6.4626775460864305,54,302313.95485537953,755.7848871384489,1845,464,294,706,355,5.104183197021484,46.13
400,astar,static,True,6.229166666666667,44,296833.48354629544,742.0837088657386,1782,457,250,727,331,5.071271896362305,45.0525
